,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,vaccine_fees,session_id,date,available_capacity,min_age_limit,vaccine,slots,available_capacity_dose1,available_capacity_dose2
0,693446,Sarvodhya V Mori G NO.1 SITE 1,Mori Gate No.1,Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,17:00:00,Free,"{'session_id': '1e9e6b7c-32c9-498e-87c4-6e19c7338825', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,1e9e6b7c-32c9-498e-87c4-6e19c7338825,20-05-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
1,693454,VBGSSS NPL COLONY SITE 1,NPL Colony New Rajinder Nagar,Delhi,Central Delhi,Not Applicable,110060,28,77,09:00:00,17:00:00,Free,"{'session_id': 'f227cdc9-2b71-45cd-a553-83c636903be8', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,f227cdc9-2b71-45cd-a553-83c636903be8,20-05-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
2,580271,Hindu Rao Hospital DH SITE 1,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': 'd05d008e-bcf1-4ec4-9a0d-d52be9dddccb', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,d05d008e-bcf1-4ec4-9a0d-d52be9dddccb,20-05-2021,0,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",0,0
2,580271,Hindu Rao Hospital DH SITE 1,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '27f9bea7-fce2-42d1-861d-9473a9d4338b', 'date': '21-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,27f9bea7-fce2-42d1-861d-9473a9d4338b,21-05-2021,0,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",0,0
2,580271,Hindu Rao Hospital DH SITE 1,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '5a400815-0e74-474f-b17f-78c27d3564cb', 'date': '22-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 1}",,5a400815-0e74-474f-b17f-78c27d3564cb,22-05-2021,1,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",0,1
2,580271,Hindu Rao Hospital DH SITE 1,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': 'e3a86398-9920-4ed6-926e-b6139079e44c', 'date': '24-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,e3a86398-9920-4ed6-926e-b6139079e44c,24-05-2021,0,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",0,0
2,580271,Hindu Rao Hospital DH SITE 1,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '62635625-fe17-4e05-bf57-1ecff9f8f15e', 'date': '25-05-2021', 'available_capacity': 2, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 1}",,62635625-fe17-4e05-bf57-1ecff9f8f15e,25-05-2021,2,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",1,1
2,580271,Hindu Rao Hospital DH SITE 1,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '6cf51b21-7146-4c2b-840f-593bff4ab147', 'date': '26-05-2021', 'available_capacity': 66, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 66, 'available_capacity_dose2': 0}",,6cf51b21-7146-4c2b-840f-593bff4ab147,26-05-2021,66,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",66,0
3,693768,SBV JAMA MASJID URDU SITE 3,Jama Masjid (Urdu Medium),Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,17:00:00,Free,"{'session_id': 'cc9a8923-89cf-4bcc-8c1c-69d813fec907', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,cc9a8923-89cf-4bcc-8c1c-69d813fec907,20-05-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
4,580268,Girdhari Lal SITE 1,MRS GLM Hospital,Delhi,Central Delhi,Not Applicable,110002,28,77,09:00:00,17:00:00,Free,"{'session_id': '732f7f15-a506-4de8-9861-cf9379c6091b', 'date': '20-05-2021', 'available_capacity': 17, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 9, 'available_capacity_dose2': 8}",,732f7f15-a506-4de8-9861-cf9379c6091b,20-05-2021,17,45,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",9,8
5,580272,Hindu Rao Hosl DH SITE 2,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': 'c0c08670-f59a-468e-9855-f630846c5bce', 'date': '20-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 0}",,c0c08670-f59a-468e-9855-f630846c5bce,20-05-2021,1,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",1,0
5,580272,Hindu Rao Hosl DH SITE 2,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': 'd44f795c-f417-4ab1-873f-9b116d008182', 'date': '21-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 0}",,d44f795c-f417-4ab1-873f-9b116d008182,21-05-2021,1,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",1,0
5,580272,Hindu Rao Hosl DH SITE 2,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '87cba84f-727a-423b-91d1-682e8f927445', 'date': '22-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,87cba84f-727a-423b-91d1-682e8f927445,22-05-2021,0,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",0,0
5,580272,Hindu Rao Hosl DH SITE 2,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '40e43c3e-6bce-4f47-8a67-2627908108e0', 'date': '24-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 0}",,40e43c3e-6bce-4f47-8a67-2627908108e0,24-05-2021,1,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",1,0
5,580272,Hindu Rao Hosl DH SITE 2,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': 'cb9e42fc-cf77-43e8-b929-624982f13244', 'date': '25-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 0}",,cb9e42fc-cf77-43e8-b929-624982f13244,25-05-2021,1,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",1,0
5,580272,Hindu Rao Hosl DH SITE 2,HINDU RAO HOSPITAL MALKA GANJ,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,21:00:00,Free,"{'session_id': '0e8c4554-b622-4b81-8ac5-93cd3dd9dca1', 'date': '26-05-2021', 'available_capacity': 15, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 15, 'available_capacity_dose2': 0}",,0e8c4554-b622-4b81-8ac5-93cd3dd9dca1,26-05-2021,15,45,COVAXIN,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",15,0
6,560733,Sir Ganga Ram Hospital Site 2,Sir Ganga Ram Hospital Old Rajinder Nagar New Delhi 110060,Delhi,Central Delhi,Not Applicable,110060,28,77,09:00:00,17:00:00,Paid,"{'session_id': 'ecb39c37-e7c1-4d9f-90a6-e1ba01c5260a', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}","[{'vaccine': 'COVAXIN', 'fee': '1250'}]",ecb39c37-e7c1-4d9f-90a6-e1ba01c5260a,20-05-2021,0,18,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
